iter	RMSE
0	0.4382218556
1	0.3950473005
2	0.3557468374
3	0.3202445923
4	0.2885908398
5	0.2599072855
6	0.2340137244
7	0.2106387953
8	0.189633159
9	0.1707650548
10	0.153901498
11	0.1386047351
12	0.1249239866
13	0.1124534923
14	0.1013064143
15	0.09120779754
16	0.08224071099
17	0.07410617681
18	0.0668324285
19	0.06022109828
20	0.05438191121
21	0.04897186415
22	0.04418047279
23	0.03983945754
24	0.03593878305
25	0.03238581381
26	0.02918917211
27	0.02637577391
28	0.02378521624
29	0.02146905539
30	0.01938345336
31	0.01750562028
32	0.01581272348
33	0.0142979168
34	0.01293424281
35	0.01170425132
36	0.01063161151
37	0.00964457214
38	0.008758626832
39	0.007959102775
40	0.007271075511
41	0.006627350813
42	0.006056815254
43	0.005548774514
44	0.005094696802
45	0.004680540195
46	0.004313120462
47	0.003984434861
48	0.003692527126
49	0.003424939807
50	0.003192842134
51	0.002986075188
52	0.002793806503
53	0.002621751085
54	0.002484703117
55	0.002347153479
56	0.002228149181
57	0.002124106973
58	0.002026883694
59	0.001937956959
60	0.001867508489
61	0.001803175234
62	0.001737779121
63	0.001679310063
64	0.001631177713
65	0.001591718923
66	0.001545178583
67	0.001502091668
68	0.00146213033
69	0.001428167695
70	0.001396701809
71	0.001385021297
72	0.001377517276
73	0.001370852215
74	0.001342254669
75	0.001313081671
76	0.001286693656
77	0.001281366395
78	0.001260103027
79	0.001240051349
80	0.001221789328
81	0.001214749918
82	0.001198579858
83	0.001194613904
84	0.001177407947
85	0.001163158561
86	0.001158503522
87	0.001155787012
88	0.001137719586
89	0.001126535473
90	0.001113463349
91	0.001105080107
92	0.001096340171
93	0.001090036389
94	0.001072833678
95	0.001063224459
96	0.00106090486
97	0.001054465859
98	0.001043496584
99	0.001027681229
